fid_1,DN,AREA,MEAN,Shape_Leng,Shape_Area,Usable_SR_,Elec_prod_,geometry
31,1,512.00000000000,1514.87741470000,0.00160018473,0.00000004774,775.61723632600,139.05265812900,"MULTIPOLYGON (((86.436719651091096 23.81942224384153, 86.436720036900226 23.819346012808296, 86.436798018913521 23.819346356349342, 86.436798173596912 23.819310460809163, 86.436837164603503 23.819310632579686, 86.436837318387575 23.819274737039507, 86.43"
32,1,96.00000000000,1551.19177246000,0.00052093034,0.00000000979,148.91441015600,26.69737545280,"MULTIPOLYGON (((86.437427427433875 23.819169283435713, 86.437427582117266 23.81913338789559, 86.437466572224594 23.819133559666113, 86.437466726907985 23.819097664125934, 86.437505717015313 23.819097834997137, 86.437505563231241 23.81913373053726, 86.437"
37,1,1280.00000000000,1444.25294952000,0.00594125491,0.00000022132,1848.64377539000,331.42485605100,"MULTIPOLYGON (((86.440136219610906 23.819358482807786, 86.440135910244123 23.819434715639659, 86.440174898552812 23.819434795679342, 86.440174590085348 23.819506586759644, 86.44013560177666 23.819506415888441, 86.440135447093269 23.819542311428563, 86.44"
39,1,592.00000000000,1488.38079999000,0.00338449343,0.00000011694,881.12143359400,157.96745061500,"MULTIPOLYGON (((86.440176288005318 23.819107565661682, 86.44017644268871 23.819071670121502, 86.440215430997398 23.819071840992706, 86.440215585680789 23.819035945452583, 86.440259437523082 23.81903613700814, 86.440259592206473 23.819000241468018, 86.440"
40,1,208.00000000000,1573.07611553000,0.00074868492,0.00000001958,327.19983203000,58.66038588640,"MULTIPOLYGON (((86.437194565976483 23.81891734735774, 86.437194720659875 23.818881451817617, 86.437233710767202 23.818881623588084, 86.437233865450594 23.818845728047961, 86.437311846564512 23.818846071589007, 86.437311691881121 23.81888187629761, 86.437"
44,1,896.00000000000,1500.33520726000,0.00378037598,0.00000012396,1344.30034570000,241.00616597800,"MULTIPOLYGON (((86.439275613378925 23.818889053786847, 86.439275768062316 23.818853158246725, 86.439353745578956 23.818853500888395, 86.439353900262347 23.818817605348272, 86.439392889470355 23.818817776219475, 86.439393043254427 23.818781880679296, 86.4"
46,1,1008.00000000000,1545.43142167000,0.00294396661,0.00000011610,1557.79487304000,279.28146483900,"MULTIPOLYGON (((86.437824047341962 23.818735831793276, 86.437824510492817 23.818628235104995, 86.437941479915423 23.818628659585045, 86.43794078563883 23.818776590867003, 86.438018764954109 23.818776843576529, 86.438018996979167 23.818736507184099, 86.43"
48,1,640.00000000000,1314.52354279000,0.00969983861,0.00000041377,841.29506738600,150.82737968100,"MULTIPOLYGON (((86.435033826050301 23.81933984525773, 86.435034289201155 23.819232250368088, 86.435229249630197 23.819232930255566, 86.435229404313588 23.819197124647644, 86.4353853719374 23.819197722696799, 86.435385681304183 23.819125932515817, 86.4354"
49,1,64.00000000000,1556.77938843000,0.00038715721,0.00000000577,99.63388085950,17.86236216050,"MULTIPOLYGON (((86.43884318246694 23.81859608883849, 86.438843337150331 23.81856019329831, 86.438965168307902 23.818560637563451, 86.438964859840439 23.818632338711495, 86.438925870632488 23.818632257772549, 86.43892602441656 23.81859636223237, 86.438843"
50,1,240.00000000000,1546.48317871000,0.00082028086,0.00000002378,371.15596289000,66.54084102700,"MULTIPOLYGON (((86.439003385897593 23.818740105371603, 86.439003849048447 23.818632509582699, 86.439042838256455 23.818632680453902, 86.439042992040527 23.818596784913723, 86.439081981248478 23.818596955784926, 86.439082135931869 23.818561060244804, 86.4"
